PositionID,PositionTitle,PositionURI,Location,City,State,Country,Latitude,Longitude,Organization,Department,MinSalary,MaxSalary,SalaryInterval,JobCategory,JobGrade,Schedule,OfferingType,StartDate,EndDate,PublicationDate,CloseDate,TeleworkEligible,SecurityClearance,PromotionPotential,TravelCode,HiringPath,TotalOpenings,NormalisedSalary
ACE-ATO-25-KRS-95095,Engineering Technician (Field Coordinator),https://www.usajobs.gov:443/GetJob/ViewDetails/837146200,Multiple Locations,"Aurora, Illinois",Illinois,United States,41.75695,-88.31577,Federal Aviation Administration,Department of Transportation,76585.0,118696.0,PA,Engineering Technical,FV,,,2025-05-19 00:00:00.000,2025-06-09 23:59:59.997,2025-05-19 00:00:00.000,2025-06-09 23:59:59.997,True,Other,NA,5,fed-internal-search,1,76585.0
AEA-ATO-25-BKY-94882,Engineering Technician (Drafting Coordinator),https://www.usajobs.gov:443/GetJob/ViewDetails/836172700,Multiple Locations,"College Park, Georgia",Georgia,United States,33.65597,-84.44896,Federal Aviation Administration,Department of Transportation,63671.0,98696.0,PA,Engineering Technical,FV,,,2025-05-01 00:00:00.000,2025-05-21 23:59:59.997,2025-05-01 00:00:00.000,2025-05-21 23:59:59.997,True,Other,NA,2,fed-internal-search,many,63671.0
CBTD-12721682-25-ST,OCA HEALTH TECHNICIAN (DIETETIC),https://www.usajobs.gov:443/GetJob/ViewDetails/835185100,"West Roxbury, Massachusetts","West Roxbury, Massachusetts",Massachusetts,United States,42.283283,-71.15714,Veterans Health Administration,Department of Veterans Affairs,45679.0,59377.0,PA,Health Aid And Technician,GS,Full-time or Part-time,,2025-04-14 00:00:00.000,2025-10-14 23:59:59.997,2025-04-14 00:00:00.000,2025-10-14 23:59:59.997,False,Not Required,None,0,public,3,45679.0
DE-12732887-25-KG,Firefighter (HazMat Tech/Basic LS),https://www.usajobs.gov:443/GetJob/ViewDetails/836419200,"Fairfield, Pennsylvania","Fairfield, Pennsylvania",Pennsylvania,United States,39.7874,-77.3687,Washington Headquarters Services,Department of Defense,57164.0,74318.0,PA,Fire Protection and Prevention,GS,,,2025-05-06 00:00:00.000,2025-05-20 23:59:59.997,2025-05-06 00:00:00.000,2025-05-20 23:59:59.997,False,Secret,None,1,public,5,57164.0
HSJG257813023720,Supply Technician,https://www.usajobs.gov:443/GetJob/ViewDetails/836782700,"Tripler Army Medical Center, Hawaii","Tripler Army Medical Center, Hawaii",Hawaii,United States,21.3589,-157.889,Military Treatment Facilities under DHA,Department of Defense,52158.0,67809.0,PA,Supply Clerical And Technician,GS,,,2025-05-12 00:00:00.000,2025-05-20 23:59:59.997,2025-05-12 00:00:00.000,2025-05-20 23:59:59.997,False,Not Required,None,1,fed-transition,1,52158.0
CBSY-12716125-25-JE,Medical Instrument Technician (Echocardiography),https://www.usajobs.gov:443/GetJob/ViewDetails/834020700,"Omaha, Nebraska","Omaha, Nebraska",Nebraska,United States,41.26067,-95.94007,Veterans Health Administration,Department of Veterans Affairs,67767.0,81951.0,PA,Medical Instrument Technician,GS,,,2025-03-21 00:00:00.000,2025-06-20 23:59:59.997,2025-03-21 00:00:00.000,2025-06-20 23:59:59.997,False,Not Required,8,0,public,1,67767.0
CBSY-12735582-25-AMB,Diagnostic Radiologic Technologist,https://www.usajobs.gov:443/GetJob/ViewDetails/837069700,"Minneapolis, Minnesota","Minneapolis, Minnesota",Minnesota,United States,44.979034,-93.26493,Veterans Health Administration,Department of Veterans Affairs,56780.0,94945.0,PA,Diagnostic Radiologic Technologist,GS,,,2025-05-15 11:17:55.340,2025-08-12 23:59:59.997,2025-05-15 11:17:55.340,2025-08-12 23:59:59.997,False,Not Required,8,0,fed-internal-search,1,56780.0
CBTF-12733778-25-ERF-BRAVO,Housekeeping / EVS Tech,https://www.usajobs.gov:443/GetJob/ViewDetails/836609600,Multiple Locations,"Baltimore, Maryland",Maryland,United States,39.290554,-76.609604,Veterans Health Administration,Department of Veterans Affairs,19.09,25.92,PH,Custodial Working,WG,,,2025-05-07 00:00:00.000,2025-05-22 23:59:59.997,2025-05-07 00:00:00.000,2025-05-22 23:59:59.997,False,Not Required,None,0,public,6,39707.2
DE-12556044-24-NMS,TECHNICIAN,https://www.usajobs.gov:443/GetJob/ViewDetails/812201300,"San Diego, California","San Diego, California",California,United States,32.7157,-117.162,"Commander, Naval Information Warfare Systems Command (NAVWARSYSCOM)",Department of the Navy,82633.0,128752.0,PA,Electronics Technical,NR,,,2024-10-02 00:00:00.000,2025-10-01 23:59:59.997,2024-10-02 00:00:00.000,2025-10-01 23:59:59.997,True,Secret,None,2,public,1,82633.0
CBSY-12735583-25-AMB,Diagnostic Radiologic Technologist,https://www.usajobs.gov:443/GetJob/ViewDetails/837071000,"Minneapolis, Minnesota","Minneapolis, Minnesota",Minnesota,United States,44.979034,-93.26493,Veterans Health Administration,Department of Veterans Affairs,56780.0,94945.0,PA,Diagnostic Radiologic Technologist,GS,,,2025-05-15 11:23:23.990,2025-08-12 23:59:59.997,2025-05-15 11:23:23.990,2025-08-12 23:59:59.997,False,Not Required,8,0,public,1,56780.0
